Date,Open,High,Low,Close,Volume
10/23/2009,56.71,56.74,55.68,55.89,1248542
10/26/2009,55.94,56.63,55.36,55.48,629513
10/27/2009,55.49,55.77,55.12,55.3,2281929
10/28/2009,55.09,55.33,54.21,54.26,1330286
10/29/2009,54.63,55.39,54.48,55.28,1025573
10/30/2009,55.2,55.33,53.76,53.84,2513653
11/02/2009,54.02,54.69,53.58,54.21,1303206
11/03/2009,53.87,54.43,53.82,54.35,3115638
11/04/2009,54.82,55.23,54.45,54.53,1383851
11/05/2009,55.01,55.6289,54.88,55.57,1076473
11/06/2009,55.25,55.9,55.21,55.72,650091
11/09/2009,56.18,56.83,56.08,56.82,653055
11/10/2009,56.63,57.04,56.58,56.84,985790
11/11/2009,57.24,57.43,56.84,57.13,835358
11/12/2009,56.99,57.31,56.42,56.61,1738050
11/13/2009,56.7,57.15,56.46,56.97,941156
11/16/2009,57.35,57.96,57.26,57.78,1743211
11/17/2009,57.6,57.86,57.43,57.8581,801127
11/18/2009,57.76,57.87,57.38,57.71,896772
11/19/2009,57.3,57.34,56.61,57.03,1489243
11/20/2009,56.66,56.92,56.518,56.76,803457
11/23/2009,57.47,57.97,57.35,57.52,1204839
11/24/2009,57.55,57.655,57.08,57.6,885447
11/25/2009,57.69,57.87,57.5,57.84,475516
11/27/2009,56.26,57.23,56.14,56.9,653263
11/30/2009,56.8,57.15,56.54,56.99,1384710
12/01/2009,57.33,57.95,57.33,57.71,1192457
12/02/2009,57.72,58.052,57.5,57.65,937867
12/03/2009,57.79,57.95,57.1,57.12,1013740
12/04/2009,57.89,58.15,56.8838,57.36,1496616
12/07/2009,57.34,57.576,57.07,57.21,903980
12/08/2009,56.84,56.94,56.43,56.64,1415291
12/09/2009,56.62,56.91,56.3,56.86,920076
12/10/2009,57.25,57.4394,57.17,57.26,603162
12/11/2009,57.36,57.6,57.185,57.41,556972
12/14/2009,57.82,57.82,57.4802,57.67,663549
12/15/2009,57.48,57.79,57.3204,57.46,1414570
12/16/2009,57.65,57.92,57.47,57.56,1399277
12/17/2009,57.17,57.32,56.832,56.91,690591
12/18/2009,57.14,57.44,56.805,57.44,901456
12/21/2009,57.57,58.03,57.52,57.83,925785
12/22/2009,57.89,58.22,57.88,58.14,1576157
12/23/2009,58.28,58.5,58.12,58.47,702591
12/24/2009,58.38,58.54,58.31,58.52,239723
12/28/2009,58.57,58.76,58.462,58.71,1152360
12/29/2009,58.75,58.86,58.58,58.6,741636
12/30/2009,58.38,58.62,58.38,58.54,404815
12/31/2009,58.65,58.74,57.98,57.99,749002
01/04/2010,58.49,58.93,58.38,58.85,1228356
01/05/2010,58.83,58.97,58.6,58.89,973157
01/06/2010,58.83,59.02,58.75,58.89,987014
01/07/2010,58.71,58.89,58.5,58.85,691423
01/08/2010,58.69,59.16,58.53,59.12,861603
01/11/2010,59.4,59.4,58.86,59.17,599078
01/12/2010,58.75,58.87,58.34,58.58,1495125
01/13/2010,58.66,59.23,58.41,59.12,1260956
01/14/2010,59.0,59.37,58.97,59.31,1090163
01/15/2010,59.24,59.33,58.4633,58.63,1355648
01/19/2010,58.68,59.42,58.6,59.41,864426
01/20/2010,58.99,58.99,58.14,58.64,1051865
01/21/2010,58.72,58.83,57.508,57.59,1816191
01/22/2010,57.3,57.5,56.16,56.25,1513671
01/25/2010,56.7,56.78,56.32,56.51,1048125
01/26/2010,56.31,56.9,56.1,56.35,949761
01/27/2010,56.21,56.7,55.82,56.58,1486504
01/28/2010,56.68,56.68,55.4,55.68,1879151
01/29/2010,55.94,56.31,54.83,54.94,1295335
02/01/2010,55.33,55.82,55.3,55.81,957454
02/02/2010,55.91,56.56,55.7,56.46,672058
02/03/2010,56.19,56.51,56.14,56.33,715250
02/04/2010,55.95,55.98,54.59,54.59,1673019
02/05/2010,54.7,54.89,53.77,54.79,2400988
02/08/2010,54.88,55.14,54.4203,54.46,998890
02/09/2010,55.08,55.72,54.76,55.26,1591696
02/10/2010,55.12,55.33,54.6074,55.05,807368
02/11/2010,54.99,55.81,54.73,55.74,562097
02/12/2010,55.12,55.74,54.93,55.69,693066
02/16/2010,56.15,56.59,55.92,56.56,792874
02/17/2010,56.83,56.9,56.57,56.8301,1382168
02/18/2010,56.71,57.35,56.71,57.25,2970462
02/19/2010,57.15,57.5,56.89,57.32,1317560
02/22/2010,57.48,57.49,56.98,57.13,1399081
02/23/2010,56.94,57.08,56.27,56.46,960316
02/24/2010,56.63,57.0,56.5,56.88,960602
02/25/2010,56.1,56.87,55.89,56.81,1036876
02/26/2010,56.91,57.046,56.55,56.84,1093163
03/01/2010,57.12,57.6,57.12,57.57,1127023
03/02/2010,57.89,58.0,57.61,57.73,1357438
03/03/2010,57.9,58.1101,57.67,57.75,494689
03/04/2010,57.89,58.03,57.6,57.96,565919
03/05/2010,58.37,58.79,58.22,58.79,1132395
03/08/2010,58.77,58.85,58.63,58.7,289809
03/09/2010,58.53,59.14,58.53,58.82,654143
03/10/2010,58.87,59.21,58.79,59.13,1036426
03/11/2010,58.99,59.32,58.76,59.31,731124
03/12/2010,59.56,59.61,59.165,59.37,447024
03/15/2010,59.31,59.37,58.9,59.32,488083
03/16/2010,59.51,59.73,59.27,59.71,950817
03/17/2010,59.85,60.17,59.8,60.01,1645225
03/18/2010,60.0,60.05,59.75,59.99,713238
03/19/2010,60.16,60.16,59.42,59.65,409332
03/22/2010,59.28,60.12,59.28,60.0,1437801
03/23/2010,60.05,60.37,59.84,60.35,640893
03/24/2010,60.06,60.2164,59.86,59.93,1008671
03/25/2010,60.19,60.39,59.62,59.69,1142176
03/26/2010,59.85,59.9948,59.37,59.65,1221388
03/29/2010,59.94,60.15,59.87,60.01,696168
03/30/2010,60.09,60.34,59.86,60.14,816871
03/31/2010,59.97,60.21,59.7901,59.92,508458
04/01/2010,60.32,60.57,59.91,60.28,1515885
04/05/2010,60.51,60.89,60.37,60.79,617755
04/06/2010,60.58,61.0,60.5474,60.88,908366
04/07/2010,60.74,60.85,60.24,60.49,582538
04/08/2010,60.28,60.7563,60.12,60.7,713546
04/09/2010,60.8,61.11,60.69,61.07,525624
04/12/2010,61.2,61.28,61.06,61.13,366091
04/13/2010,61.03,61.31,60.77,61.2,526643
04/14/2010,61.46,61.79,61.33,61.76,550164
04/15/2010,61.7,61.95,61.66,61.91,845690
04/16/2010,61.65,61.84,60.76,61.06,1000383
04/19/2010,60.9,61.24,60.58,61.23,480942
04/20/2010,61.53,61.75,61.32,61.669,375934
04/21/2010,61.72,61.852,61.38,61.69,381636
04/22/2010,61.27,61.92,60.86,61.86,655247
04/23/2010,61.82,62.278,61.68,62.23,573044
04/26/2010,62.3,62.46,62.09,62.2,648825
04/27/2010,61.89,62.13,60.68,60.785,939745
04/28/2010,61.16,61.23,60.55,61.13,926420
04/29/2010,61.53,61.85,61.4,61.69,544038
04/30/2010,61.68,61.77,60.68,60.73,566643
05/03/2010,60.98,61.57,60.82,61.39,407213
05/04/2010,60.74,60.74,59.58,59.91,1022195
05/05/2010,59.34,59.95,59.091,59.52,716401
05/06/2010,59.19,59.65,34.29,57.67,2417948
05/07/2010,57.34,57.9,55.71,56.57,3333344
05/10/2010,59.02,59.32,58.65,59.17,1211910
05/11/2010,58.7,59.72,58.58,58.91,2729754
05/12/2010,59.18,60.0,59.17,59.89,651771
