Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MSFT,MICROSOFT CORP,Equity,7.89,136.37,"13,420,980.00","1,830,219,042.60","1,830,219,042.60",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,5.56,"1,765.73","730,354.00","1,289,607,968.42","1,289,607,968.42",Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,3.32,182.34,"4,228,608.00","771,044,382.72","771,044,382.72",Communication,B7TL820,US30303M1027,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,2.85,"1,242.80","531,170.00","660,138,076.00","660,138,076.00",Communication,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,2.82,"1,241.20","526,495.00","653,485,594.00","653,485,594.00",Communication,BYVY8G0,US02079K3059,NASDAQ
V,VISA INC CLASS A,Equity,2.24,170.86,"3,035,548.00","518,653,731.28","518,653,731.28",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.90,60.77,"7,269,969.00","441,796,016.13","441,796,016.13",Communication,2090571,US92343V1044,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,1.77,261.26,"1,569,246.00","409,981,209.96","409,981,209.96",Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,1.58,81.30,"4,500,445.00","365,886,178.50","365,886,178.50",Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,1.53,47.55,"7,462,068.00","354,821,333.40","354,821,333.40",Information Technology,2198163,US17275R1023,NASDAQ
PFE,PFIZER INC,Equity,1.53,36.43,"9,722,083.00","354,175,483.69","354,175,483.69",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.52,129.20,"2,736,973.00","353,616,911.60","353,616,911.60",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.50,210.62,"1,654,390.00","348,447,621.80","348,447,621.80",Financials,2073390,US0846707026,New York Stock Exchange Inc.
BA,BOEING,Equity,1.36,337.00,"939,639.00","316,658,343.00","316,658,343.00",Industrials,2108601,US0970231058,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.30,122.18,"2,463,412.00","300,979,678.16","300,979,678.16",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.24,69.09,"4,164,797.00","287,745,824.73","287,745,824.73",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,1.17,52.01,"5,217,117.00","271,342,255.17","271,342,255.17",Information Technology,2463247,US4581401001,NASDAQ
MCD,MCDONALDS CORP,Equity,1.15,199.27,"1,334,898.00","266,005,124.46","266,005,124.46",Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,1.08,80.54,"3,106,606.00","250,206,047.24","250,206,047.24",Health Care,2002305,US0028241000,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,1.06,104.49,"2,358,292.00","246,417,931.08","246,417,931.08",Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,1.01,132.40,"1,773,148.00","234,764,795.20","234,764,795.20",Communication,2270726,US2546871060,New York Stock Exchange Inc.
