Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
ADBE,ADOBE INC,Equity,0.96,261.09,"853,271.00","222,780,525.39","222,780,525.39",Information Technology,2008154,US00724F1012,NASDAQ
CRM,SALESFORCE.COM INC,Equity,0.95,142.33,"1,541,530.00","219,405,964.90","219,405,964.90",Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.91,170.77,"1,238,207.00","211,448,609.39","211,448,609.39",Industrials,2914734,US9078181081,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.91,237.20,"885,430.00","210,023,996.00","210,023,996.00",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
NFLX,NETFLIX INC,Equity,0.88,266.69,"769,554.00","205,232,356.26","205,232,356.26",Communication,2857817,US64110L1061,NASDAQ
PEP,PEPSICO INC,Equity,0.88,136.66,"1,499,048.00","204,859,899.68","204,859,899.68",Consumer Staples,2681511,US7134481081,NASDAQ
NEE,NEXTERA ENERGY INC,Equity,0.87,236.24,"859,009.00","202,932,286.16","202,932,286.16",Utilities,2328915,US65339F1012,New York Stock Exchange Inc.
PYPL,PAYPAL HOLDINGS INC,Equity,0.87,97.36,"2,068,219.00","201,361,801.84","201,361,801.84",Information Technology,BYW36M8,US70450Y1038,NASDAQ
AVGO,BROADCOM INC,Equity,0.87,287.46,"699,607.00","201,109,028.22","201,109,028.22",Information Technology,BDZ78H9,US11135F1012,NASDAQ
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.85,280.99,"703,872.00","197,780,993.28","197,780,993.28",Health Care,2886907,US8835561023,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.82,53.85,"3,517,042.00","189,392,711.70","189,392,711.70",Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
AMT,AMERICAN TOWER REIT CORP,Equity,0.76,226.74,"777,903.00","176,381,726.22","176,381,726.22",Real Estate,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
CMCSA,COMCAST CORP CLASS A,Equity,0.72,45.77,"3,665,948.00","167,790,439.96","167,790,439.96",Communication,2044545,US20030N1019,NASDAQ
LLY,ELI LILLY,Equity,0.71,109.84,"1,492,838.00","163,973,325.92","163,973,325.92",Health Care,2516152,US5324571083,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.62,56.65,"2,518,980.00","142,700,217.00","142,700,217.00",Financials,2736035,US9029733048,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.61,204.83,"695,260.00","142,410,105.80","142,410,105.80",Health Care,2023607,US0311621009,NASDAQ
TXN,TEXAS INSTRUMENT INC,Equity,0.60,128.57,"1,082,450.00","139,170,596.50","139,170,596.50",Information Technology,2885409,US8825081040,NASDAQ
FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,0.58,125.44,"1,077,655.00","135,181,043.20","135,181,043.20",Information Technology,2769796,US31620M1062,New York Stock Exchange Inc.
TJX,TJX INC,Equity,0.55,60.36,"2,123,073.00","128,148,686.28","128,148,686.28",Consumer Discretionary,2989301,US8725401090,New York Stock Exchange Inc.
LIN,LINDE PLC,Equity,0.52,191.47,"636,096.00","121,793,301.12","121,793,301.12",Materials,BZ12WP8,IE00BZ12WP82,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.52,159.49,"762,128.00","121,551,794.72","121,551,794.72",Information Technology,2065308,US0530151036,NASDAQ
INTU,INTUIT INC,Equity,0.50,253.33,"456,751.00","115,708,730.83","115,708,730.83",Information Technology,2459020,US4612021034,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.49,81.17,"1,396,015.00","113,314,537.55","113,314,537.55",Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
NVDA,NVIDIA CORP,Equity,0.48,195.61,"567,568.00","111,021,976.48","111,021,976.48",Information Technology,2379504,US67066G1040,NASDAQ
COP,CONOCOPHILLIPS,Equity,0.48,56.54,"1,949,222.00","110,209,011.88","110,209,011.88",Energy,2685717,US20825C1045,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.47,535.75,"202,364.00","108,416,513.00","108,416,513.00",Health Care,2871301,US46120E6023,NASDAQ
NKE,NIKE INC CLASS B,Equity,0.46,95.60,"1,123,406.00","107,397,613.60","107,397,613.60",Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.46,168.94,"633,017.00","106,941,891.98","106,941,891.98",Industrials,2020459,US4385161066,New York Stock Exchange Inc.
SPGI,S&P GLOBAL INC,Equity,0.46,246.18,"433,092.00","106,618,588.56","106,618,588.56",Financials,BYV2325,US78409V1044,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.45,77.87,"1,352,577.00","105,325,170.99","105,325,170.99",Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.45,54.11,"1,936,989.00","104,810,474.79","104,810,474.79",Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
CSX,CSX CORP,Equity,0.44,72.29,"1,404,461.00","101,528,485.69","101,528,485.69",Industrials,2160753,US1264081035,NASDAQ
FISV,FISERV INC,Equity,0.44,100.79,"1,004,395.00","101,232,972.05","101,232,972.05",Information Technology,2342034,US3377381088,NASDAQ
LMT,LOCKHEED MARTIN CORP,Equity,0.42,373.68,"262,368.00","98,041,674.24","98,041,674.24",Industrials,2522096,US5398301094,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.42,141.41,"684,383.00","96,778,600.03","96,778,600.03",Industrials,2915500,US9130171096,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.41,182.72,"515,706.00","94,229,800.32","94,229,800.32",Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
BSX,BOSTON SCIENTIFIC CORP,Equity,0.40,38.18,"2,451,055.00","93,581,279.90","93,581,279.90",Health Care,2113434,US1011371077,New York Stock Exchange Inc.
ICE,INTERCONTINENTAL EXCHANGE INC,Equity,0.39,91.87,"986,101.00","90,593,098.87","90,593,098.87",Financials,BFSSDS9,US45866F1049,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.39,83.46,"1,074,172.00","89,650,395.12","89,650,395.12",Consumer Discretionary,2842255,US8552441094,NASDAQ
QCOM,QUALCOMM INC,Equity,0.38,78.47,"1,110,676.00","87,154,745.72","87,154,745.72",Information Technology,2714923,US7475251036,NASDAQ
MMM,3M,Equity,0.37,167.54,"516,248.00","86,492,189.92","86,492,189.92",Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
VRTX,VERTEX PHARMACEUTICALS INC,Equity,0.37,191.06,"452,274.00","86,411,470.44","86,411,470.44",Health Care,2931034,US92532F1003,NASDAQ
DHR,DANAHER CORP,Equity,0.37,137.08,"629,118.00","86,239,495.44","86,239,495.44",Health Care,2250870,US2358511028,New York Stock Exchange Inc.
ECL,ECOLAB INC,Equity,0.36,188.40,"440,505.00","82,991,142.00","82,991,142.00",Materials,2304227,US2788651006,New York Stock Exchange Inc.
GPN,GLOBAL PAYMENTS INC,Equity,0.35,155.13,"527,946.00","81,900,262.98","81,900,262.98",Information Technology,2712013,US37940X1028,New York Stock Exchange Inc.
EW,EDWARDS LIFESCIENCES CORP,Equity,0.35,222.09,"365,937.00","81,270,948.33","81,270,948.33",Health Care,2567116,US28176E1082,New York Stock Exchange Inc.
APD,AIR PRODUCTS AND CHEMICALS INC,Equity,0.35,206.97,"387,734.00","80,249,305.98","80,249,305.98",Materials,2011602,US0091581068,New York Stock Exchange Inc.
WM,WASTE MANAGEMENT INC,Equity,0.35,116.92,"686,244.00","80,235,648.48","80,235,648.48",Industrials,2937667,US94106L1098,New York Stock Exchange Inc.
ILMN,ILLUMINA INC,Equity,0.34,309.05,"258,123.00","79,772,913.15","79,772,913.15",Health Care,2613990,US4523271090,NASDAQ
BMY,BRISTOL MYERS SQUIBB,Equity,0.34,54.42,"1,464,378.00","79,691,450.76","79,691,450.76",Health Care,2126335,US1101221083,New York Stock Exchange Inc.
DG,DOLLAR GENERAL CORP,Equity,0.32,165.80,"452,327.00","74,995,816.60","74,995,816.60",Consumer Discretionary,B5B1S13,US2566771059,New York Stock Exchange Inc.
BDX,BECTON DICKINSON,Equity,0.32,250.28,"299,253.00","74,897,040.84","74,897,040.84",Health Care,2087807,US0758871091,New York Stock Exchange Inc.
BKNG,BOOKING HOLDINGS INC,Equity,0.31,"2,023.05","35,905.00","72,637,610.25","72,637,610.25",Consumer Discretionary,BDRXDB4,US09857L1089,NASDAQ
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.31,116.10,"614,389.00","71,330,562.90","71,330,562.90",Industrials,2517382,US9113121068,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.31,118.61,"598,522.00","70,990,694.42","70,990,694.42",Financials,2026082,US0258161092,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.30,112.47,"624,644.00","70,253,710.68","70,253,710.68",Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.
SYK,STRYKER CORP,Equity,0.30,209.76,"333,113.00","69,873,782.88","69,873,782.88",Health Care,2853688,US8636671013,New York Stock Exchange Inc.
HUM,HUMANA INC,Equity,0.30,290.11,"237,257.00","68,830,628.27","68,830,628.27",Health Care,2445063,US4448591028,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.29,42.22,"1,571,076.00","66,330,828.72","66,330,828.72",Energy,2655408,US6745991058,New York Stock Exchange Inc.
WELL,WELLTOWER INC,Equity,0.28,91.92,"712,686.00","65,510,097.12","65,510,097.12",Real Estate,BYVYHH4,US95040Q1040,New York Stock Exchange Inc.
CI,CIGNA CORP,Equity,0.28,170.38,"378,531.00","64,494,111.78","64,494,111.78",Health Care,BHJ0775,US1255231003,New York Stock Exchange Inc.
PSA,PUBLIC STORAGE REIT,Equity,0.27,240.54,"263,505.00","63,383,492.70","63,383,492.70",Real Estate,2852533,US74460D1090,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.26,104.70,"585,720.00","61,324,884.00","61,324,884.00",Health Care,2182348,US1510201049,NASDAQ
ROP,ROPER TECHNOLOGIES INC,Equity,0.26,332.73,"182,999.00","60,889,257.27","60,889,257.27",Industrials,2749602,US7766961061,New York Stock Exchange Inc.
NSC,NORFOLK SOUTHERN CORP,Equity,0.26,188.96,"319,563.00","60,384,624.48","60,384,624.48",Industrials,2641894,US6558441084,New York Stock Exchange Inc.
AMD,ADVANCED MICRO DEVICES INC,Equity,0.26,31.51,"1,909,327.00","60,162,893.77","60,162,893.77",Information Technology,2007849,US0079031078,NASDAQ
YUM,YUM BRANDS INC,Equity,0.25,110.10,"535,102.00","58,914,730.20","58,914,730.20",Consumer Discretionary,2098876,US9884981013,New York Stock Exchange Inc.
HCA,HCA HEALTHCARE INC,Equity,0.25,125.23,"466,984.00","58,480,406.32","58,480,406.32",Health Care,B4MGBG6,US40412C1018,New York Stock Exchange Inc.
STZ,CONSTELLATION BRANDS INC CLASS A,Equity,0.25,196.81,"294,236.00","57,908,587.16","57,908,587.16",Consumer Staples,2170473,US21036P1084,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Equity,0.25,67.06,"860,547.00","57,708,281.82","57,708,281.82",Consumer Staples,2209106,US1941621039,New York Stock Exchange Inc.
ZTS,ZOETIS INC CLASS A,Equity,0.24,122.81,"462,386.00","56,785,624.66","56,785,624.66",Health Care,B95WG16,US98978V1035,New York Stock Exchange Inc.
D,DOMINION ENERGY INC,Equity,0.24,82.82,"679,112.00","56,244,055.84","56,244,055.84",Utilities,2542049,US25746U1097,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.24,154.51,"362,815.00","56,058,545.65","56,058,545.65",Real Estate,2812452,US8288061091,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,0.24,99.05,"560,795.00","55,546,744.75","55,546,744.75",Financials,2567741,US5717481023,New York Stock Exchange Inc.
ADSK,AUTODESK INC,Equity,0.23,140.07,"386,685.00","54,162,967.95","54,162,967.95",Information Technology,2065159,US0527691069,NASDAQ
ORLY,OREILLY AUTOMOTIVE INC,Equity,0.23,400.40,"134,487.00","53,848,594.80","53,848,594.80",Consumer Discretionary,B65LWX6,US67103H1077,NASDAQ
VFC,VF CORP,Equity,0.23,93.16,"574,514.00","53,521,724.24","53,521,724.24",Consumer Discretionary,2928683,US9182041080,New York Stock Exchange Inc.
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.23,437.23,"122,163.00","53,413,328.49","53,413,328.49",Communication,BZ6VT82,US16119P1084,NASDAQ
TWTR,TWITTER INC,Equity,0.23,38.81,"1,359,430.00","52,759,478.30","52,759,478.30",Communication,BFLR866,US90184L1026,New York Stock Exchange Inc.
EQIX,EQUINIX REIT INC,Equity,0.22,569.93,"89,432.00","50,969,979.76","50,969,979.76",Real Estate,BVLZX12,US29444U7000,NASDAQ
SHW,SHERWIN WILLIAMS,Equity,0.22,566.89,"89,447.00","50,706,609.83","50,706,609.83",Materials,2804211,US8243481061,New York Stock Exchange Inc.
AON,AON PLC CLASS A,Equity,0.22,193.42,"261,081.00","50,498,287.02","50,498,287.02",Financials,B5BT0K0,GB00B5BT0K07,New York Stock Exchange Inc.
IR,INGERSOLL RAND PLC,Equity,0.22,118.29,"425,065.00","50,280,938.85","50,280,938.85",Industrials,B633030,IE00B6330302,New York Stock Exchange Inc.
BIIB,BIOGEN INC,Equity,0.21,281.87,"174,805.00","49,272,285.35","49,272,285.35",Health Care,2455965,US09062X1037,NASDAQ
MSI,MOTOROLA SOLUTIONS INC,Equity,0.21,169.08,"290,993.00","49,201,096.44","49,201,096.44",Information Technology,B5BKPQ4,US6200763075,New York Stock Exchange Inc.
EL,ESTEE LAUDER INC CLASS A,Equity,0.21,185.10,"264,355.00","48,932,110.50","48,932,110.50",Consumer Staples,2320524,US5184391044,New York Stock Exchange Inc.
INFO,IHS MARKIT LTD,Equity,0.21,69.28,"704,756.00","48,825,495.68","48,825,495.68",Industrials,BD0Q558,BMG475671050,New York Stock Exchange Inc.
ZBH,ZIMMER BIOMET HOLDINGS INC,Equity,0.21,134.82,"361,267.00","48,706,016.94","48,706,016.94",Health Care,2783815,US98956P1021,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.20,"1,100.11","43,122.00","47,438,943.42","47,438,943.42",Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
HLT,HILTON WORLDWIDE HOLDINGS INC,Equity,0.20,90.73,"503,945.00","45,722,929.85","45,722,929.85",Consumer Discretionary,BYVMW06,US43300A2033,New York Stock Exchange Inc.
SYY,SYSCO CORP,Equity,0.19,79.00,"567,852.00","44,860,308.00","44,860,308.00",Consumer Staples,2868165,US8718291078,New York Stock Exchange Inc.
TDG,TRANSDIGM GROUP INC,Equity,0.19,510.93,"87,191.00","44,548,497.63","44,548,497.63",Industrials,B11FJK3,US8936411003,New York Stock Exchange Inc.
SCHW,CHARLES SCHWAB CORP,Equity,0.19,40.92,"1,062,500.00","43,477,500.00","43,477,500.00",Financials,2779397,US8085131055,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,0.19,204.71,"210,418.00","43,074,668.78","43,074,668.78",Industrials,2758051,US7551115071,New York Stock Exchange Inc.
XLNX,XILINX INC,Equity,0.18,95.98,"443,518.00","42,568,857.64","42,568,857.64",Information Technology,2985677,US9839191015,NASDAQ
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.18,141.30,"299,938.00","42,381,239.40","42,381,239.40",Real Estate,BTGQCX1,US22822V1017,New York Stock Exchange Inc.
KMB,KIMBERLY CLARK CORP,Equity,0.18,129.38,"326,993.00","42,306,354.34","42,306,354.34",Consumer Staples,2491839,US4943681035,New York Stock Exchange Inc.
IDXX,IDEXX LABORATORIES INC,Equity,0.18,270.84,"151,339.00","40,988,654.76","40,988,654.76",Health Care,2459202,US45168D1046,NASDAQ
LHX,L3HARRIS TECHNOLOGIES INC,Equity,0.18,200.67,"203,872.00","40,910,994.24","40,910,994.24",Industrials,BK9DTN5,US5024311095,New York Stock Exchange Inc.
ROST,ROSS STORES INC,Equity,0.18,111.90,"364,883.00","40,830,407.70","40,830,407.70",Consumer Discretionary,2746711,US7782961038,NASDAQ
ALXN,ALEXION PHARMACEUTICALS INC,Equity,0.17,99.28,"394,001.00","39,116,419.28","39,116,419.28",Health Care,2036070,US0153511094,NASDAQ
ADI,ANALOG DEVICES INC,Equity,0.17,110.88,"350,895.00","38,907,237.60","38,907,237.60",Information Technology,2032067,US0326541051,NASDAQ
CTAS,CINTAS CORP,Equity,0.17,266.13,"145,673.00","38,767,955.49","38,767,955.49",Industrials,2197137,US1729081059,NASDAQ
MNST,MONSTER BEVERAGE CORP,Equity,0.16,55.94,"678,886.00","37,976,882.84","37,976,882.84",Consumer Staples,BZ07BW4,US61174X1090,NASDAQ
CERN,CERNER CORP,Equity,0.16,67.47,"558,673.00","37,693,667.31","37,693,667.31",Health Care,2185284,US1567821046,NASDAQ
FAST,FASTENAL,Equity,0.16,37.37,"1,005,309.00","37,563,370.79","37,563,370.79",Industrials,2332262,US3119001044,NASDAQ
PGR,PROGRESSIVE CORP,Equity,0.16,68.77,"544,387.00","37,437,493.99","37,437,493.99",Financials,2705024,US7433151039,New York Stock Exchange Inc.
CMG,CHIPOTLE MEXICAN GRILL INC,Equity,0.16,831.07,"44,754.00","37,193,706.78","37,193,706.78",Consumer Discretionary,B0X7DZ3,US1696561059,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.16,221.83,"167,100.00","37,067,793.00","37,067,793.00",Real Estate,2131179,US0534841012,New York Stock Exchange Inc.
EQR,EQUITY RESIDENTIAL REIT,Equity,0.16,88.44,"415,774.00","36,771,052.56","36,771,052.56",Real Estate,2319157,US29476L1070,New York Stock Exchange Inc.
AME,AMETEK INC,Equity,0.15,88.38,"401,732.00","35,505,074.16","35,505,074.16",Industrials,2089212,US0311001004,New York Stock Exchange Inc.
MKC,MCCORMICK & CO NON-VOTING INC,Equity,0.15,160.50,"216,516.00","34,750,818.00","34,750,818.00",Consumer Staples,2550161,US5797802064,New York Stock Exchange Inc.
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.15,1.00,"34,334,000.00","34,333,999.99","34,333,999.99",Cash and/or Derivatives,--,US0669224778,--
KEYS,KEYSIGHT TECHNOLOGIES INC,Equity,0.15,102.50,"330,434.00","33,869,485.00","33,869,485.00",Information Technology,BQZJ0Q9,US49338L1035,New York Stock Exchange Inc.
BAX,BAXTER INTERNATIONAL INC,Equity,0.14,87.04,"384,958.00","33,506,744.32","33,506,744.32",Health Care,2085102,US0718131099,New York Stock Exchange Inc.
ITW,ILLINOIS TOOL INC,Equity,0.14,161.58,"206,360.00","33,343,648.80","33,343,648.80",Industrials,2457552,US4523081093,New York Stock Exchange Inc.
IQV,IQVIA HOLDINGS INC,Equity,0.14,142.86,"233,269.00","33,324,809.34","33,324,809.34",Health Care,BDR73G1,US46266C1053,New York Stock Exchange Inc.
AEE,AMEREN CORP,Equity,0.14,77.05,"430,996.00","33,208,241.80","33,208,241.80",Utilities,2050832,US0236081024,New York Stock Exchange Inc.
VRSN,VERISIGN INC,Equity,0.14,181.61,"182,644.00","33,169,976.84","33,169,976.84",Information Technology,2142922,US92343E1029,NASDAQ
CLX,CLOROX,Equity,0.14,148.44,"220,464.00","32,725,676.16","32,725,676.16",Consumer Staples,2204026,US1890541097,New York Stock Exchange Inc.
O,REALTY INCOME REIT CORP,Equity,0.14,79.72,"407,137.00","32,456,961.64","32,456,961.64",Real Estate,2724193,US7561091049,New York Stock Exchange Inc.
HCP,HCP REIT INC,Equity,0.14,37.52,"860,620.00","32,290,462.40","32,290,462.40",Real Estate,2417578,US40414L1098,New York Stock Exchange Inc.
CHD,CHURCH AND DWIGHT INC,Equity,0.14,74.18,"434,788.00","32,252,573.84","32,252,573.84",Consumer Staples,2195841,US1713401024,New York Stock Exchange Inc.
MSCI,MSCI INC,Equity,0.14,216.38,"148,680.00","32,171,378.40","32,171,378.40",Financials,B2972D2,US55354G1004,New York Stock Exchange Inc.
RMD,RESMED INC,Equity,0.14,126.52,"252,800.00","31,984,256.00","31,984,256.00",Health Care,2732903,US7611521078,New York Stock Exchange Inc.
ANSS,ANSYS INC,Equity,0.14,214.32,"147,984.00","31,715,930.88","31,715,930.88",Information Technology,2045623,US03662Q1058,NASDAQ
FRC,FIRST REPUBLIC BANK,Equity,0.13,106.23,"294,564.00","31,291,533.72","31,291,533.72",Financials,B4WHY15,US33616C1009,New York Stock Exchange Inc.
VRSK,VERISK ANALYTICS INC,Equity,0.13,151.02,"198,648.00","29,999,820.96","29,999,820.96",Industrials,B4P9W92,US92345Y1064,NASDAQ
ETN,EATON PLC,Equity,0.13,84.72,"353,056.00","29,910,904.32","29,910,904.32",Industrials,B8KQN82,IE00B8KQN827,New York Stock Exchange Inc.
MCO,MOODYS CORP,Equity,0.13,213.20,"139,613.00","29,765,491.60","29,765,491.60",Financials,2252058,US6153691059,New York Stock Exchange Inc.
DFS,DISCOVER FINANCIAL SERVICES,Equity,0.13,81.15,"362,266.00","29,397,885.90","29,397,885.90",Financials,B1YLC43,US2547091080,New York Stock Exchange Inc.
FDX,FEDEX CORP,Equity,0.13,154.63,"190,030.00","29,384,338.90","29,384,338.90",Industrials,2142784,US31428X1063,New York Stock Exchange Inc.
OKE,ONEOK INC,Equity,0.13,70.33,"412,636.00","29,020,689.88","29,020,689.88",Energy,2130109,US6826801036,New York Stock Exchange Inc.
PAYX,PAYCHEX INC,Equity,0.13,83.27,"348,335.00","29,005,855.45","29,005,855.45",Information Technology,2674458,US7043261079,NASDAQ
ESS,ESSEX PROPERTY TRUST REIT INC,Equity,0.12,330.99,"85,476.00","28,291,701.24","28,291,701.24",Real Estate,2316619,US2971781057,New York Stock Exchange Inc.
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Equity,0.12,244.98,"115,106.00","28,198,667.88","28,198,667.88",Real Estate,BZ6TS23,US78410G1040,NASDAQ
DLR,DIGITAL REALTY TRUST REIT INC,Equity,0.12,134.81,"205,297.00","27,676,088.57","27,676,088.57",Real Estate,B03GQS4,US2538681030,New York Stock Exchange Inc.
BLL,BALL CORP,Equity,0.12,70.85,"389,511.00","27,596,854.35","27,596,854.35",Materials,2073022,US0584981064,New York Stock Exchange Inc.
K,KELLOGG,Equity,0.12,62.08,"437,541.00","27,162,545.28","27,162,545.28",Consumer Staples,2486813,US4878361082,New York Stock Exchange Inc.
ES,EVERSOURCE ENERGY,Equity,0.12,85.86,"312,030.00","26,790,895.80","26,790,895.80",Utilities,BVVN4Q8,US30040W1080,New York Stock Exchange Inc.
XEL,XCEL ENERGY INC,Equity,0.11,64.21,"413,054.00","26,522,197.34","26,522,197.34",Utilities,2614807,US98389B1008,NASDAQ
TFX,TELEFLEX INC,Equity,0.11,322.42,"81,353.00","26,229,834.26","26,229,834.26",Health Care,2881407,US8793691069,New York Stock Exchange Inc.
FLT,FLEETCOR TECHNOLOGIES INC,Equity,0.11,286.28,"91,084.00","26,075,527.52","26,075,527.52",Information Technology,B4R28B3,US3390411052,New York Stock Exchange Inc.
AKAM,AKAMAI TECHNOLOGIES INC,Equity,0.11,89.09,"289,885.00","25,825,854.65","25,825,854.65",Information Technology,2507457,US00971T1016,NASDAQ
XYL,XYLEM INC,Equity,0.11,81.27,"316,773.00","25,744,141.71","25,744,141.71",Industrials,B3P2CN8,US98419M1009,New York Stock Exchange Inc.
KLAC,KLA CORP,Equity,0.11,162.82,"154,628.00","25,176,530.96","25,176,530.96",Information Technology,2480138,US4824801009,NASDAQ
REGN,REGENERON PHARMACEUTICALS INC,Equity,0.11,301.31,"83,234.00","25,079,236.54","25,079,236.54",Health Care,2730190,US75886F1075,NASDAQ
